Ref_Date,GEO,INS,RAN,STA,Value
2016/2017,Canada,École des hautes études commerciales,Associate professor,Median (dollars),124725
2016/2017,Canada,École des hautes études commerciales,With senior administrative duties,Total teaching staff,15
2016/2017,Canada,École des hautes études commerciales,With senior administrative duties,Average (dollars),138600
2016/2017,Canada,École des hautes études commerciales,With senior administrative duties,Median (dollars),144600
2016/2017,Canada,École des hautes études commerciales,Without senior administrative duties,Total teaching staff,90
2016/2017,Canada,École des hautes études commerciales,Without senior administrative duties,Average (dollars),118750
2016/2017,Canada,École des hautes études commerciales,Without senior administrative duties,Median (dollars),121975
2016/2017,Canada,École des hautes études commerciales,Assistant professor,Total teaching staff,33
2016/2017,Canada,École des hautes études commerciales,Assistant professor,Average (dollars),98000
2016/2017,Canada,École des hautes études commerciales,Assistant professor,Median (dollars),98100
2016/2017,Canada,École des hautes études commerciales,Rank below assistant professor,Total teaching staff,48
2016/2017,Canada,École des hautes études commerciales,Rank below assistant professor,Average (dollars),89400
2016/2017,Canada,École des hautes études commerciales,Rank below assistant professor,Median (dollars),91550
2016/2017,Canada,École des hautes études commerciales,All ranks combined (including deans),Total teaching staff,282
2016/2017,Canada,École des hautes études commerciales,All ranks combined (including deans),Average (dollars),126175
2016/2017,Canada,École des hautes études commerciales,All ranks combined (including deans),Median (dollars),125650
2016/2017,Canada,École des hautes études commerciales,Male,Total teaching staff,186
2016/2017,Canada,École des hautes études commerciales,Male,Average (dollars),130275
2016/2017,Canada,École des hautes études commerciales,Male,Median (dollars),125650
2016/2017,Canada,École des hautes études commerciales,Female,Total teaching staff,96
2016/2017,Canada,École des hautes études commerciales,Female,Average (dollars),118225
2016/2017,Canada,École des hautes études commerciales,Female,Median (dollars),113225
2016/2017,Canada,Université Laval - Including medical dental,Full professor,Total teaching staff,852
2016/2017,Canada,Université Laval - Including medical dental,Full professor,Average (dollars),136200
2016/2017,Canada,Université Laval - Including medical dental,Full professor,Median (dollars),138150
2016/2017,Canada,Université Laval - Including medical dental,With senior administrative duties,Total teaching staff,105
2016/2017,Canada,Université Laval - Including medical dental,With senior administrative duties,Average (dollars),148825
2016/2017,Canada,Université Laval - Including medical dental,With senior administrative duties,Median (dollars),148425
2016/2017,Canada,Université Laval - Including medical dental,Without senior administrative duties,Total teaching staff,750
2016/2017,Canada,Université Laval - Including medical dental,Without senior administrative duties,Average (dollars),134425
2016/2017,Canada,Université Laval - Including medical dental,Without senior administrative duties,Median (dollars),138150
2016/2017,Canada,Université Laval - Including medical dental,Associate professor,Total teaching staff,282
2016/2017,Canada,Université Laval - Including medical dental,Associate professor,Average (dollars),111375
2016/2017,Canada,Université Laval - Including medical dental,Associate professor,Median (dollars),109000
2016/2017,Canada,Université Laval - Including medical dental,With senior administrative duties,Total teaching staff,21
2016/2017,Canada,Université Laval - Including medical dental,With senior administrative duties,Average (dollars),125625
2016/2017,Canada,Université Laval - Including medical dental,With senior administrative duties,Median (dollars),125975
2016/2017,Canada,Université Laval - Including medical dental,Without senior administrative duties,Total teaching staff,264
2016/2017,Canada,Université Laval - Including medical dental,Without senior administrative duties,Average (dollars),110350
2016/2017,Canada,Université Laval - Including medical dental,Without senior administrative duties,Median (dollars),107375
2016/2017,Canada,Université Laval - Including medical dental,Assistant professor,Total teaching staff,228
2016/2017,Canada,Université Laval - Including medical dental,Assistant professor,Average (dollars),91100
2016/2017,Canada,Université Laval - Including medical dental,Assistant professor,Median (dollars),89450
2016/2017,Canada,Université Laval - Including medical dental,Rank below assistant professor,Total teaching staff,21
2016/2017,Canada,Université Laval - Including medical dental,Rank below assistant professor,Average (dollars),77075
2016/2017,Canada,Université Laval - Including medical dental,Rank below assistant professor,Median (dollars),79825
2016/2017,Canada,Université Laval - Including medical dental,All ranks combined (including deans),Total teaching staff,1410
2016/2017,Canada,Université Laval - Including medical dental,All ranks combined (including deans),Average (dollars),123525
2016/2017,Canada,Université Laval - Including medical dental,All ranks combined (including deans),Median (dollars),130175
2016/2017,Canada,Université Laval - Including medical dental,Male,Total teaching staff,918
2016/2017,Canada,Université Laval - Including medical dental,Male,Average (dollars),125475
2016/2017,Canada,Université Laval - Including medical dental,Male,Median (dollars),134100
2016/2017,Canada,Université Laval - Including medical dental,Female,Total teaching staff,489
2016/2017,Canada,Université Laval - Including medical dental,Female,Average (dollars),119875
2016/2017,Canada,Université Laval - Including medical dental,Female,Median (dollars),122650
2016/2017,Canada,Université Laval - Excluding medical dental,Full professor,Total teaching staff,663
2016/2017,Canada,Université Laval - Excluding medical dental,Full professor,Average (dollars),135325
2016/2017,Canada,Université Laval - Excluding medical dental,Full professor,Median (dollars),138150
2016/2017,Canada,Université Laval - Excluding medical dental,With senior administrative duties,Total teaching staff,75
2016/2017,Canada,Université Laval - Excluding medical dental,With senior administrative duties,Average (dollars),148625
2016/2017,Canada,Université Laval - Excluding medical dental,With senior administrative duties,Median (dollars),148900
2016/2017,Canada,Université Laval - Excluding medical dental,Without senior administrative duties,Total teaching staff,588
2016/2017,Canada,Université Laval - Excluding medical dental,Without senior administrative duties,Average (dollars),133625
2016/2017,Canada,Université Laval - Excluding medical dental,Without senior administrative duties,Median (dollars),138150
2016/2017,Canada,Université Laval - Excluding medical dental,Associate professor,Total teaching staff,216
2016/2017,Canada,Université Laval - Excluding medical dental,Associate professor,Average (dollars),111050
2016/2017,Canada,Université Laval - Excluding medical dental,Associate professor,Median (dollars),109000
2016/2017,Canada,Université Laval - Excluding medical dental,With senior administrative duties,Total teaching staff,12
2016/2017,Canada,Université Laval - Excluding medical dental,With senior administrative duties,Average (dollars),126125
2016/2017,Canada,Université Laval - Excluding medical dental,With senior administrative duties,Median (dollars),126050
2016/2017,Canada,Université Laval - Excluding medical dental,Without senior administrative duties,Total teaching staff,207
2016/2017,Canada,Université Laval - Excluding medical dental,Without senior administrative duties,Average (dollars),110150
2016/2017,Canada,Université Laval - Excluding medical dental,Without senior administrative duties,Median (dollars),107375
2016/2017,Canada,Université Laval - Excluding medical dental,Assistant professor,Total teaching staff,174
2016/2017,Canada,Université Laval - Excluding medical dental,Assistant professor,Average (dollars),90825
2016/2017,Canada,Université Laval - Excluding medical dental,Assistant professor,Median (dollars),89450
2016/2017,Canada,Université Laval - Excluding medical dental,Rank below assistant professor,Total teaching staff,18
2016/2017,Canada,Université Laval - Excluding medical dental,Rank below assistant professor,Average (dollars),75675
2016/2017,Canada,Université Laval - Excluding medical dental,Rank below assistant professor,Median (dollars),78375
2016/2017,Canada,Université Laval - Excluding medical dental,All ranks combined (including deans),Total teaching staff,1098
2016/2017,Canada,Université Laval - Excluding medical dental,All ranks combined (including deans),Average (dollars),122875
2016/2017,Canada,Université Laval - Excluding medical dental,All ranks combined (including deans),Median (dollars),128250
2016/2017,Canada,Université Laval - Excluding medical dental,Male,Total teaching staff,693
2016/2017,Canada,Université Laval - Excluding medical dental,Male,Average (dollars),124425
2016/2017,Canada,Université Laval - Excluding medical dental,Male,Median (dollars),132125
2016/2017,Canada,Université Laval - Excluding medical dental,Female,Total teaching staff,405
2016/2017,Canada,Université Laval - Excluding medical dental,Female,Average (dollars),120225
2016/2017,Canada,Université Laval - Excluding medical dental,Female,Median (dollars),124475
2016/2017,Canada,Université de Sherbrooke - Including medical dental,Full professor,Total teaching staff,414
2016/2017,Canada,Université de Sherbrooke - Including medical dental,Full professor,Average (dollars),134525
2016/2017,Canada,Université de Sherbrooke - Including medical dental,Full professor,Median (dollars),134100
2016/2017,Canada,Université de Sherbrooke - Including medical dental,With senior administrative duties,Total teaching staff,63
2016/2017,Canada,Université de Sherbrooke - Including medical dental,With senior administrative duties,Average (dollars),141750
2016/2017,Canada,Université de Sherbrooke - Including medical dental,With senior administrative duties,Median (dollars),145100
2016/2017,Canada,Université de Sherbrooke - Including medical dental,Without senior administrative duties,Total teaching staff,351
2016/2017,Canada,Université de Sherbrooke - Including medical dental,Without senior administrative duties,Average (dollars),133225
2016/2017,Canada,Université de Sherbrooke - Including medical dental,Without senior administrative duties,Median (dollars),134100
2016/2017,Canada,Université de Sherbrooke - Including medical dental,Associate professor,Total teaching staff,348
2016/2017,Canada,Université de Sherbrooke - Including medical dental,Associate professor,Average (dollars),112825
2016/2017,Canada,Université de Sherbrooke - Including medical dental,Associate professor,Median (dollars),112500
2016/2017,Canada,Université de Sherbrooke - Including medical dental,With senior administrative duties,Total teaching staff,18
2016/2017,Canada,Université de Sherbrooke - Including medical dental,With senior administrative duties,Average (dollars),120075
2016/2017,Canada,Université de Sherbrooke - Including medical dental,With senior administrative duties,Median (dollars),117450
2016/2017,Canada,Université de Sherbrooke - Including medical dental,Without senior administrative duties,Total teaching staff,330
2016/2017,Canada,Université de Sherbrooke - Including medical dental,Without senior administrative duties,Average (dollars),112400
2016/2017,Canada,Université de Sherbrooke - Including medical dental,Without senior administrative duties,Median (dollars),112500
2016/2017,Canada,Université de Sherbrooke - Including medical dental,Assistant professor,Total teaching staff,324
2016/2017,Canada,Université de Sherbrooke - Including medical dental,Assistant professor,Average (dollars),92500
2016/2017,Canada,Université de Sherbrooke - Including medical dental,Assistant professor,Median (dollars),93850
2016/2017,Canada,Université de Sherbrooke - Including medical dental,Rank below assistant professor,Total teaching staff,33
2016/2017,Canada,Université de Sherbrooke - Including medical dental,Rank below assistant professor,Average (dollars),70200
2016/2017,Canada,Université de Sherbrooke - Including medical dental,Rank below assistant professor,Median (dollars),69200
2016/2017,Canada,Université de Sherbrooke - Including medical dental,All ranks combined (including deans),Total teaching staff,1131
2016/2017,Canada,Université de Sherbrooke - Including medical dental,All ranks combined (including deans),Average (dollars),113850
2016/2017,Canada,Université de Sherbrooke - Including medical dental,All ranks combined (including deans),Median (dollars),114600
2016/2017,Canada,Université de Sherbrooke - Including medical dental,Male,Total teaching staff,648
2016/2017,Canada,Université de Sherbrooke - Including medical dental,Male,Average (dollars),118850
2016/2017,Canada,Université de Sherbrooke - Including medical dental,Male,Median (dollars),119925
2016/2017,Canada,Université de Sherbrooke - Including medical dental,Female,Total teaching staff,483
2016/2017,Canada,Université de Sherbrooke - Including medical dental,Female,Average (dollars),107075
2016/2017,Canada,Université de Sherbrooke - Including medical dental,Female,Median (dollars),107325
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,Full professor,Total teaching staff,273
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,Full professor,Average (dollars),136000
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,Full professor,Median (dollars),137650
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,With senior administrative duties,Total teaching staff,48
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,With senior administrative duties,Average (dollars),142600
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,With senior administrative duties,Median (dollars),145100
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,Without senior administrative duties,Total teaching staff,225
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,Without senior administrative duties,Average (dollars),134600
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,Without senior administrative duties,Median (dollars),137650
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,Associate professor,Total teaching staff,171
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,Associate professor,Average (dollars),114450
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,Associate professor,Median (dollars),114600
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,With senior administrative duties,Total teaching staff,12
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,With senior administrative duties,Average (dollars),120050
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,With senior administrative duties,Median (dollars),117450
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,Without senior administrative duties,Total teaching staff,159
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,Without senior administrative duties,Average (dollars),114025
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,Without senior administrative duties,Median (dollars),113900
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,Assistant professor,Total teaching staff,75
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,Assistant professor,Average (dollars),96950
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,Assistant professor,Median (dollars),97600
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,Rank below assistant professor,Total teaching staff,9
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,Rank below assistant professor,Average (dollars),76625
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,Rank below assistant professor,Median (dollars),76100
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,All ranks combined (including deans),Total teaching staff,534
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,All ranks combined (including deans),Average (dollars),122750
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,All ranks combined (including deans),Median (dollars),121925
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,Male,Total teaching staff,354
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,Male,Average (dollars),125125
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,Male,Median (dollars),129800
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,Female,Total teaching staff,183
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,Female,Average (dollars),118150
2016/2017,Canada,Université de Sherbrooke - Excluding medical dental,Female,Median (dollars),118075
2016/2017,Canada,Concordia University,Full professor,Total teaching staff,357
2016/2017,Canada,Concordia University,Full professor,Average (dollars),134600
2016/2017,Canada,Concordia University,Full professor,Median (dollars),132950
2016/2017,Canada,Concordia University,With senior administrative duties,Total teaching staff,51
2016/2017,Canada,Concordia University,With senior administrative duties,Average (dollars),147950
2016/2017,Canada,Concordia University,With senior administrative duties,Median (dollars),145750
2016/2017,Canada,Concordia University,Without senior administrative duties,Total teaching staff,309
2016/2017,Canada,Concordia University,Without senior administrative duties,Average (dollars),132500
2016/2017,Canada,Concordia University,Without senior administrative duties,Median (dollars),130750
2016/2017,Canada,Concordia University,Associate professor,Total teaching staff,348
2016/2017,Canada,Concordia University,Associate professor,Average (dollars),106125
2016/2017,Canada,Concordia University,Associate professor,Median (dollars),104050
2016/2017,Canada,Concordia University,With senior administrative duties,Total teaching staff,33
2016/2017,Canada,Concordia University,With senior administrative duties,Average (dollars),120825
2016/2017,Canada,Concordia University,With senior administrative duties,Median (dollars),117800
2016/2017,Canada,Concordia University,Without senior administrative duties,Total teaching staff,315
2016/2017,Canada,Concordia University,Without senior administrative duties,Average (dollars),104575
2016/2017,Canada,Concordia University,Without senior administrative duties,Median (dollars),101825
2016/2017,Canada,Concordia University,Assistant professor,Total teaching staff,177
2016/2017,Canada,Concordia University,Assistant professor,Average (dollars),77125
2016/2017,Canada,Concordia University,Assistant professor,Median (dollars),81750
2016/2017,Canada,Concordia University,Rank below assistant professor,Total teaching staff,66
2016/2017,Canada,Concordia University,Rank below assistant professor,Average (dollars),77975
2016/2017,Canada,Concordia University,Rank below assistant professor,Median (dollars),71850
2016/2017,Canada,Concordia University,Other teaching staff,Total teaching staff,x
2016/2017,Canada,Concordia University,Other teaching staff,Average (dollars),x
2016/2017,Canada,Concordia University,Other teaching staff,Median (dollars),x
2016/2017,Canada,Concordia University,All ranks combined (including deans),Total teaching staff,960
2016/2017,Canada,Concordia University,All ranks combined (including deans),Average (dollars),109925
2016/2017,Canada,Concordia University,All ranks combined (including deans),Median (dollars),108450
2016/2017,Canada,Concordia University,Male,Total teaching staff,606
2016/2017,Canada,Concordia University,Male,Average (dollars),113950
2016/2017,Canada,Concordia University,Male,Median (dollars),110875
2016/2017,Canada,Concordia University,Female,Total teaching staff,354
2016/2017,Canada,Concordia University,Female,Average (dollars),103000
2016/2017,Canada,Concordia University,Female,Median (dollars),104050
2016/2017,Canada,Université du Québec à Chicoutimi,Full professor,Total teaching staff,69
2016/2017,Canada,Université du Québec à Chicoutimi,Full professor,Average (dollars),139875
2016/2017,Canada,Université du Québec à Chicoutimi,Full professor,Median (dollars),141000
2016/2017,Canada,Université du Québec à Chicoutimi,With senior administrative duties,Total teaching staff,30
2016/2017,Canada,Université du Québec à Chicoutimi,With senior administrative duties,Average (dollars),145650
2016/2017,Canada,Université du Québec à Chicoutimi,With senior administrative duties,Median (dollars),141850
2016/2017,Canada,Université du Québec à Chicoutimi,Without senior administrative duties,Total teaching staff,39
2016/2017,Canada,Université du Québec à Chicoutimi,Without senior administrative duties,Average (dollars),135775
2016/2017,Canada,Université du Québec à Chicoutimi,Without senior administrative duties,Median (dollars),139900
2016/2017,Canada,Université du Québec à Chicoutimi,Associate professor,Total teaching staff,108
2016/2017,Canada,Université du Québec à Chicoutimi,Associate professor,Average (dollars),113300
2016/2017,Canada,Université du Québec à Chicoutimi,Associate professor,Median (dollars),112200
2016/2017,Canada,Université du Québec à Chicoutimi,With senior administrative duties,Total teaching staff,36
2016/2017,Canada,Université du Québec à Chicoutimi,With senior administrative duties,Average (dollars),119450
2016/2017,Canada,Université du Québec à Chicoutimi,With senior administrative duties,Median (dollars),120000
2016/2017,Canada,Université du Québec à Chicoutimi,Without senior administrative duties,Total teaching staff,72
2016/2017,Canada,Université du Québec à Chicoutimi,Without senior administrative duties,Average (dollars),110225
2016/2017,Canada,Université du Québec à Chicoutimi,Without senior administrative duties,Median (dollars),110175
2016/2017,Canada,Université du Québec à Chicoutimi,Assistant professor,Total teaching staff,39
2016/2017,Canada,Université du Québec à Chicoutimi,Assistant professor,Average (dollars),84750
2016/2017,Canada,Université du Québec à Chicoutimi,Assistant professor,Median (dollars),86400
2016/2017,Canada,Université du Québec à Chicoutimi,Rank below assistant professor,Total teaching staff,18
2016/2017,Canada,Université du Québec à Chicoutimi,Rank below assistant professor,Average (dollars),82425
2016/2017,Canada,Université du Québec à Chicoutimi,Rank below assistant professor,Median (dollars),79125
2016/2017,Canada,Université du Québec à Chicoutimi,All ranks combined (including deans),Total teaching staff,237
2016/2017,Canada,Université du Québec à Chicoutimi,All ranks combined (including deans),Average (dollars),114750
2016/2017,Canada,Université du Québec à Chicoutimi,All ranks combined (including deans),Median (dollars),115200
2016/2017,Canada,Université du Québec à Chicoutimi,Male,Total teaching staff,144
2016/2017,Canada,Université du Québec à Chicoutimi,Male,Average (dollars),118125
2016/2017,Canada,Université du Québec à Chicoutimi,Male,Median (dollars),120875
2016/2017,Canada,Université du Québec à Chicoutimi,Female,Total teaching staff,96
2016/2017,Canada,Université du Québec à Chicoutimi,Female,Average (dollars),109700
2016/2017,Canada,Université du Québec à Chicoutimi,Female,Median (dollars),111425
2016/2017,Canada,Université du Québec à Montréal,Full professor,Total teaching staff,390
2016/2017,Canada,Université du Québec à Montréal,Full professor,Average (dollars),133125
2016/2017,Canada,Université du Québec à Montréal,Full professor,Median (dollars),137875
2016/2017,Canada,Université du Québec à Montréal,With senior administrative duties,Total teaching staff,117
2016/2017,Canada,Université du Québec à Montréal,With senior administrative duties,Average (dollars),134775
2016/2017,Canada,Université du Québec à Montréal,With senior administrative duties,Median (dollars),137875
2016/2017,Canada,Université du Québec à Montréal,Without senior administrative duties,Total teaching staff,273
2016/2017,Canada,Université du Québec à Montréal,Without senior administrative duties,Average (dollars),132425
2016/2017,Canada,Université du Québec à Montréal,Without senior administrative duties,Median (dollars),137875
2016/2017,Canada,Université du Québec à Montréal,Associate professor,Total teaching staff,609
2016/2017,Canada,Université du Québec à Montréal,Associate professor,Average (dollars),108450
2016/2017,Canada,Université du Québec à Montréal,Associate professor,Median (dollars),107525
2016/2017,Canada,Université du Québec à Montréal,With senior administrative duties,Total teaching staff,135
2016/2017,Canada,Université du Québec à Montréal,With senior administrative duties,Average (dollars),112600
2016/2017,Canada,Université du Québec à Montréal,With senior administrative duties,Median (dollars),113150
2016/2017,Canada,Université du Québec à Montréal,Without senior administrative duties,Total teaching staff,474
2016/2017,Canada,Université du Québec à Montréal,Without senior administrative duties,Average (dollars),107275
2016/2017,Canada,Université du Québec à Montréal,Without senior administrative duties,Median (dollars),105925
2016/2017,Canada,Université du Québec à Montréal,Assistant professor,Total teaching staff,96
2016/2017,Canada,Université du Québec à Montréal,Assistant professor,Average (dollars),85400
2016/2017,Canada,Université du Québec à Montréal,Assistant professor,Median (dollars),84475
2016/2017,Canada,Université du Québec à Montréal,Other teaching staff,Total teaching staff,x
2016/2017,Canada,Université du Québec à Montréal,Other teaching staff,Average (dollars),x
2016/2017,Canada,Université du Québec à Montréal,Other teaching staff,Median (dollars),x
2016/2017,Canada,Université du Québec à Montréal,All ranks combined (including deans),Total teaching staff,1101
2016/2017,Canada,Université du Québec à Montréal,All ranks combined (including deans),Average (dollars),115500
2016/2017,Canada,Université du Québec à Montréal,All ranks combined (including deans),Median (dollars),115550
2016/2017,Canada,Université du Québec à Montréal,Male,Total teaching staff,600
2016/2017,Canada,Université du Québec à Montréal,Male,Average (dollars),117700
2016/2017,Canada,Université du Québec à Montréal,Male,Median (dollars),119325
2016/2017,Canada,Université du Québec à Montréal,Female,Total teaching staff,498
2016/2017,Canada,Université du Québec à Montréal,Female,Average (dollars),112850
2016/2017,Canada,Université du Québec à Montréal,Female,Median (dollars),112350
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,Full professor,Total teaching staff,21
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,Full professor,Average (dollars),136650
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,Full professor,Median (dollars),133300
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,With senior administrative duties,Total teaching staff,6
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,With senior administrative duties,Average (dollars),148100
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,With senior administrative duties,Median (dollars),x
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,Without senior administrative duties,Total teaching staff,18
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,Without senior administrative duties,Average (dollars),131625
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,Without senior administrative duties,Median (dollars),131325
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,Associate professor,Average (dollars),110425
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,Associate professor,Median (dollars),110875
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,With senior administrative duties,Total teaching staff,9
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,With senior administrative duties,Average (dollars),120875
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,With senior administrative duties,Median (dollars),117925
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,Without senior administrative duties,Total teaching staff,54
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,Without senior administrative duties,Average (dollars),108500
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,Without senior administrative duties,Median (dollars),107775
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,Assistant professor,Total teaching staff,24
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,Assistant professor,Average (dollars),85000
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,Assistant professor,Median (dollars),81325
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,All ranks combined (including deans),Total teaching staff,114
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,All ranks combined (including deans),Average (dollars),110350
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,All ranks combined (including deans),Median (dollars),110875
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,Male,Total teaching staff,63
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,Male,Average (dollars),113300
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,Male,Median (dollars),115500
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,Female,Total teaching staff,51
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,Female,Average (dollars),106900
2016/2017,Canada,Université du Québec en Abitibi-Témiscamingue,Female,Median (dollars),106825
2016/2017,Canada,Université du Québec à Trois-Rivières,Full professor,Total teaching staff,153
2016/2017,Canada,Université du Québec à Trois-Rivières,Full professor,Average (dollars),132750
2016/2017,Canada,Université du Québec à Trois-Rivières,Full professor,Median (dollars),133800
2016/2017,Canada,Université du Québec à Trois-Rivières,With senior administrative duties,Total teaching staff,60
2016/2017,Canada,Université du Québec à Trois-Rivières,With senior administrative duties,Average (dollars),133800
2016/2017,Canada,Université du Québec à Trois-Rivières,With senior administrative duties,Median (dollars),135825
2016/2017,Canada,Université du Québec à Trois-Rivières,Without senior administrative duties,Total teaching staff,93
2016/2017,Canada,Université du Québec à Trois-Rivières,Without senior administrative duties,Average (dollars),132075
2016/2017,Canada,Université du Québec à Trois-Rivières,Without senior administrative duties,Median (dollars),132475
2016/2017,Canada,Université du Québec à Trois-Rivières,Associate professor,Total teaching staff,228
2016/2017,Canada,Université du Québec à Trois-Rivières,Associate professor,Average (dollars),109800
2016/2017,Canada,Université du Québec à Trois-Rivières,Associate professor,Median (dollars),108025
2016/2017,Canada,Université du Québec à Trois-Rivières,With senior administrative duties,Total teaching staff,63
2016/2017,Canada,Université du Québec à Trois-Rivières,With senior administrative duties,Average (dollars),111150
2016/2017,Canada,Université du Québec à Trois-Rivières,With senior administrative duties,Median (dollars),109650
2016/2017,Canada,Université du Québec à Trois-Rivières,Without senior administrative duties,Total teaching staff,165
2016/2017,Canada,Université du Québec à Trois-Rivières,Without senior administrative duties,Average (dollars),109300
2016/2017,Canada,Université du Québec à Trois-Rivières,Without senior administrative duties,Median (dollars),108025
2016/2017,Canada,Université du Québec à Trois-Rivières,Assistant professor,Total teaching staff,51
2016/2017,Canada,Université du Québec à Trois-Rivières,Assistant professor,Average (dollars),84000
2016/2017,Canada,Université du Québec à Trois-Rivières,Assistant professor,Median (dollars),83450
2016/2017,Canada,Université du Québec à Trois-Rivières,All ranks combined (including deans),Total teaching staff,435
2016/2017,Canada,Université du Québec à Trois-Rivières,All ranks combined (including deans),Average (dollars),115075
2016/2017,Canada,Université du Québec à Trois-Rivières,All ranks combined (including deans),Median (dollars),116975
2016/2017,Canada,Université du Québec à Trois-Rivières,Male,Total teaching staff,243
2016/2017,Canada,Université du Québec à Trois-Rivières,Male,Average (dollars),119050
2016/2017,Canada,Université du Québec à Trois-Rivières,Male,Median (dollars),122925
2016/2017,Canada,Université du Québec à Trois-Rivières,Female,Total teaching staff,192
2016/2017,Canada,Université du Québec à Trois-Rivières,Female,Average (dollars),110050
2016/2017,Canada,Université du Québec à Trois-Rivières,Female,Median (dollars),106425
2016/2017,Canada,Université du Québec en Outaouais,Full professor,Total teaching staff,57
2016/2017,Canada,Université du Québec en Outaouais,Full professor,Average (dollars),130950
2016/2017,Canada,Université du Québec en Outaouais,Full professor,Median (dollars),132475
2016/2017,Canada,Université du Québec en Outaouais,With senior administrative duties,Total teaching staff,18
2016/2017,Canada,Université du Québec en Outaouais,With senior administrative duties,Average (dollars),137850
2016/2017,Canada,Université du Québec en Outaouais,With senior administrative duties,Median (dollars),136450
2016/2017,Canada,Université du Québec en Outaouais,Without senior administrative duties,Total teaching staff,42
2016/2017,Canada,Université du Québec en Outaouais,Without senior administrative duties,Average (dollars),128200
2016/2017,Canada,Université du Québec en Outaouais,Without senior administrative duties,Median (dollars),130500
2016/2017,Canada,Université du Québec en Outaouais,Associate professor,Total teaching staff,123
2016/2017,Canada,Université du Québec en Outaouais,Associate professor,Average (dollars),106450
2016/2017,Canada,Université du Québec en Outaouais,Associate professor,Median (dollars),104300
2016/2017,Canada,Université du Québec en Outaouais,With senior administrative duties,Total teaching staff,30
2016/2017,Canada,Université du Québec en Outaouais,With senior administrative duties,Average (dollars),113125
2016/2017,Canada,Université du Québec en Outaouais,With senior administrative duties,Median (dollars),111550
2016/2017,Canada,Université du Québec en Outaouais,Without senior administrative duties,Total teaching staff,93
2016/2017,Canada,Université du Québec en Outaouais,Without senior administrative duties,Average (dollars),104125
